author_id,total_tweets,retweet_count,original_count,retweet_dependency,dependency_label
2349489651,942,942,0,100.0,100.0%
3300398932,692,692,0,100.0,100.0%
718905277425324032,424,424,0,100.0,100.0%
4263832996,412,412,0,100.0,100.0%
2188942746,393,393,0,100.0,100.0%
2792582272,391,391,0,100.0,100.0%
29657174,383,383,0,100.0,100.0%
551757163,361,361,0,100.0,100.0%
816843360,317,317,0,100.0,100.0%
3887606853,311,311,0,100.0,100.0%
3114115281,304,304,0,100.0,100.0%
1390044422,296,296,0,100.0,100.0%
1363187880324128777,291,291,0,100.0,100.0%
502143179,264,264,0,100.0,100.0%
807179081645248512,250,250,0,100.0,100.0%
1025701121749340160,241,241,0,100.0,100.0%
2956355153,240,240,0,100.0,100.0%
252807721,239,239,0,100.0,100.0%
179423854,233,233,0,100.0,100.0%
543535171,233,233,0,100.0,100.0%
231104437,227,227,0,100.0,100.0%
742647151054966784,224,224,0,100.0,100.0%
3612917849,218,218,0,100.0,100.0%
885959017658544129,212,212,0,100.0,100.0%
1061233680570556418,211,211,0,100.0,100.0%
4817891387,209,209,0,100.0,100.0%
1003202927945756673,207,207,0,100.0,100.0%
454229130,200,200,0,100.0,100.0%
275106146,198,198,0,100.0,100.0%
1369581015178612737,197,197,0,100.0,100.0%
763289987236397057,196,196,0,100.0,100.0%
1020004105,192,192,0,100.0,100.0%
707605159967379456,190,190,0,100.0,100.0%
473808419,186,186,0,100.0,100.0%
2962956405,183,183,0,100.0,100.0%
3070694055,180,180,0,100.0,100.0%
1206188036540784640,176,176,0,100.0,100.0%
3795040641,158,158,0,100.0,100.0%
376205806,157,157,0,100.0,100.0%
1306352019280728068,156,156,0,100.0,100.0%
2718050467,150,150,0,100.0,100.0%
1123603421133721600,150,150,0,100.0,100.0%
3347335019,149,149,0,100.0,100.0%
2558693828,145,145,0,100.0,100.0%
1232279819708227584,145,145,0,100.0,100.0%
3097826745,144,144,0,100.0,100.0%
239723923,143,143,0,100.0,100.0%
3361354623,135,135,0,100.0,100.0%
1239150095427346432,135,135,0,100.0,100.0%
253557119,133,133,0,100.0,100.0%
406351606,133,133,0,100.0,100.0%
946121040052269059,128,128,0,100.0,100.0%
1208359653618454528,126,126,0,100.0,100.0%
788148808593055744,125,125,0,100.0,100.0%
1034107292332044288,125,125,0,100.0,100.0%
3369255203,124,124,0,100.0,100.0%
731266145815285766,123,123,0,100.0,100.0%
881813386983608326,122,122,0,100.0,100.0%
3398856221,121,121,0,100.0,100.0%
1306580615890956289,121,121,0,100.0,100.0%
708420688927969281,120,120,0,100.0,100.0%
824235334653374470,120,120,0,100.0,100.0%
1231982311253708803,120,120,0,100.0,100.0%
3353029179,119,119,0,100.0,100.0%
3996376534,119,119,0,100.0,100.0%
997263385979949057,118,118,0,100.0,100.0%
593594458,117,117,0,100.0,100.0%
513314171,116,116,0,100.0,100.0%
1240010627638341632,116,116,0,100.0,100.0%
578775993,114,114,0,100.0,100.0%
815242392336875522,112,112,0,100.0,100.0%
1143622561365942274,112,112,0,100.0,100.0%
1134916080,111,111,0,100.0,100.0%
3706639822,110,110,0,100.0,100.0%
1124987963878903809,110,110,0,100.0,100.0%
914182228690849792,106,106,0,100.0,100.0%
2998767646,105,105,0,100.0,100.0%
719636497754886144,105,105,0,100.0,100.0%
951384998279598080,104,104,0,100.0,100.0%
313466878,102,102,0,100.0,100.0%
2997101480,102,102,0,100.0,100.0%
1219576515094044672,101,101,0,100.0,100.0%
1254717571108147200,101,101,0,100.0,100.0%
938173363939405829,99,99,0,100.0,100.0%
1016729015619645445,99,99,0,100.0,100.0%
3037255030,98,98,0,100.0,100.0%
965546929970208768,98,98,0,100.0,100.0%
2901742196,97,97,0,100.0,100.0%
3110820563,97,97,0,100.0,100.0%
976936566340902922,96,96,0,100.0,100.0%
1492453528102739973,95,95,0,100.0,100.0%
72496760,94,94,0,100.0,100.0%
2995938962,94,94,0,100.0,100.0%
1398379908242587651,94,94,0,100.0,100.0%
4848765867,93,93,0,100.0,100.0%
716706935924506625,93,93,0,100.0,100.0%
927164574809370624,93,93,0,100.0,100.0%
225076113,92,92,0,100.0,100.0%
2525467134,92,92,0,100.0,100.0%
972850132336209922,92,92,0,100.0,100.0%
1205883024539303936,92,92,0,100.0,100.0%
319248633,91,91,0,100.0,100.0%
1376557556,91,91,0,100.0,100.0%
2440837462,91,91,0,100.0,100.0%
364836664,90,90,0,100.0,100.0%
3205296069,90,90,0,100.0,100.0%
3367050785,89,89,0,100.0,100.0%
3375328361,89,89,0,100.0,100.0%
1234740120298889216,89,89,0,100.0,100.0%
1056078895714369536,88,88,0,100.0,100.0%
3028384000,87,87,0,100.0,100.0%
862001789469642752,87,87,0,100.0,100.0%
4171928429,86,86,0,100.0,100.0%
301417249,85,85,0,100.0,100.0%
587439292,85,85,0,100.0,100.0%
973962349450285058,85,85,0,100.0,100.0%
1207768901603528711,85,85,0,100.0,100.0%
4281980296,84,84,0,100.0,100.0%
308402583,83,83,0,100.0,100.0%
2352289182,83,83,0,100.0,100.0%
3049278317,83,83,0,100.0,100.0%
1264955346969333760,83,83,0,100.0,100.0%
248646826,82,82,0,100.0,100.0%
498991408,82,82,0,100.0,100.0%
3102416297,82,82,0,100.0,100.0%
121788605,81,81,0,100.0,100.0%
330196261,81,81,0,100.0,100.0%
1099659269253808128,81,81,0,100.0,100.0%
169903496,80,80,0,100.0,100.0%
614545435,80,80,0,100.0,100.0%
2231770914,80,80,0,100.0,100.0%
2523990377,80,80,0,100.0,100.0%
871498196417036288,80,80,0,100.0,100.0%
908989318886297603,80,80,0,100.0,100.0%
1181587003244236800,80,80,0,100.0,100.0%
491321717,79,79,0,100.0,100.0%
1357389917748396041,79,79,0,100.0,100.0%
293944193,78,78,0,100.0,100.0%
512269720,77,77,0,100.0,100.0%
1251966541652013057,77,77,0,100.0,100.0%
3351874475,76,76,0,100.0,100.0%
789218934968942592,76,76,0,100.0,100.0%
854334323700486144,76,76,0,100.0,100.0%
863021584268873750,76,76,0,100.0,100.0%
1494273538110468096,76,76,0,100.0,100.0%
2884918560,75,75,0,100.0,100.0%
721700881939488768,75,75,0,100.0,100.0%
1189640521,74,74,0,100.0,100.0%
996052536477044736,74,74,0,100.0,100.0%
103888161,73,73,0,100.0,100.0%
1031398897,73,73,0,100.0,100.0%
1423974908,73,73,0,100.0,100.0%
4724929942,73,73,0,100.0,100.0%
935594250313617409,73,73,0,100.0,100.0%
263131673,72,72,0,100.0,100.0%
1231466622,72,72,0,100.0,100.0%
3437860767,72,72,0,100.0,100.0%
977009310504030208,72,72,0,100.0,100.0%
1244239902696517635,72,72,0,100.0,100.0%
74470533,71,71,0,100.0,100.0%
2410719479,71,71,0,100.0,100.0%
3030296048,71,71,0,100.0,100.0%
2878231414,70,70,0,100.0,100.0%
3253538681,70,70,0,100.0,100.0%
835997630,69,69,0,100.0,100.0%
2800176941,69,69,0,100.0,100.0%
891631191807451136,69,69,0,100.0,100.0%
932163137008173058,68,68,0,100.0,100.0%
3053335007,67,67,0,100.0,100.0%
826906463100628993,67,67,0,100.0,100.0%
952384224,66,66,0,100.0,100.0%
2478533715,66,66,0,100.0,100.0%
3366784947,66,66,0,100.0,100.0%
886511092100411392,66,66,0,100.0,100.0%
1149702215894011904,66,66,0,100.0,100.0%
546906831,65,65,0,100.0,100.0%
979674021796163585,65,65,0,100.0,100.0%
201847033,64,64,0,100.0,100.0%
382199131,64,64,0,100.0,100.0%
